,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
AC119673.2,10.557839,10.808714,10.6054325,11.159914,10.793815,10.498376,10.545322,10.807865,10.5250025,10.9339695
AC119677.1,6.855907,7.291039,7.3231297,7.33992,7.3128324,6.5213737,6.265401,6.686244,6.3055067,6.8024154
AC119751.2,4.8760505,6.4942827,5.529344,5.3785725,6.13131,3.88618,2.7952828,4.4429936,4.540166,3.7334104
AC120024.4,5.9579005,6.5117364,6.3623257,5.997429,6.5489507,5.9090075,5.059535,6.0235767,5.7801037,5.086728
AC120036.1,11.454166,10.994356,11.529561,10.651944,10.553279,11.892547,11.833205,11.604466,11.707741,11.8435135
AC120498.9,6.8577433,6.940503,7.3541174,6.9792013,7.4926972,7.0078564,7.430986,6.886019,6.7780013,6.6102633
AC121161.2,5.5506763,5.2283206,6.17807,5.2821374,5.177394,5.5057344,4.300506,5.4274783,5.749584,5.1950173
AC121758.2,6.796916,7.303536,6.8073597,6.7623043,6.8496614,6.3097014,5.9982595,6.2572737,6.1824403,6.1192527
AC122134.1,6.0672436,4.834794,5.6500206,5.093819,4.8281217,5.0899324,5.79257,5.044968,4.886427,5.9802732
AC122694.1,6.9879217,7.382901,7.170448,6.990403,6.891876,6.6680336,5.6232457,6.6476927,6.6487865,6.2523885
AC122719.1,4.8907585,4.9571447,5.0873575,4.8515053,4.3373427,7.2041326,6.5713167,7.0321155,7.692257,7.716097
AC123777.1,5.826923,6.5283103,6.4344683,6.5905457,6.6519327,6.063657,6.0868044,6.4960103,5.978323,5.746913
AC124057.1,6.254464,5.626062,5.841038,5.1328573,5.1326704,5.000048,7.2204676,5.047714,4.8506193,5.18218
AC124068.2,5.176056,5.561416,5.297874,6.5652094,5.637124,5.5584726,4.4943986,5.644918,5.8027487,5.69312
AC124242.1,6.567738,6.995826,6.8848867,7.1819344,6.753154,6.448835,6.6579933,6.72437,6.728224,6.731563
AC124798.1,7.9186096,7.9691367,7.9699483,7.9533625,9.271172,7.158319,7.337228,7.5091844,7.1429987,7.136336
AC124804.1,5.8489256,6.103189,5.9244647,5.910118,6.054198,7.2934985,6.4020753,7.2843866,7.796092,7.6263704
AC124916.1,7.2135515,6.926915,6.9378147,7.103392,6.916127,7.3962884,6.9815245,7.0395713,7.495825,7.398532
AC125238.2,9.008301,6.6953454,7.2385902,7.1167097,7.136655,6.8340454,6.757569,6.9391913,6.6727743,6.609991
AC125421.1,8.435117,8.634568,8.893189,8.219431,8.682039,8.518776,8.252268,8.547428,8.581053,8.507972
AC125603.4,7.601077,7.6772375,7.1758814,7.257447,7.4463177,7.2204676,6.317584,7.103392,7.4899983,7.2494564
AC125613.1,4.5592093,2.9313414,4.6043053,4.4776754,4.6656723,5.8735766,5.2698956,6.0445685,6.6274667,5.945478
AC125807.1,6.0567245,6.2178545,6.3459277,6.5391736,6.211259,6.9668455,6.55138,7.019698,6.926206,7.149076
AC125807.2,5.207006,4.5141106,4.9709396,5.1819267,4.2520423,5.9194646,4.534419,5.769254,5.6874533,6.1464334
AC126121.1,5.48577,5.734917,4.3110805,5.580993,5.2704635,3.3064468,3.599673,3.8632867,2.6548514,4.4168844
AC126121.3,7.2192206,7.1510305,7.129008,7.412356,6.5510316,6.6059256,6.462119,6.925992,6.2948475,6.179017
AC126182.2,7.0220385,5.6892776,5.637845,6.773142,5.6573195,6.683224,6.687607,6.3759813,6.6767097,6.6037383
AC126474.2,2.8315642,2.9313414,3.3226461,2.431473,2.8861458,5.441398,4.527609,5.373162,5.755796,5.360901
AC126615.2,5.7006025,5.77133,5.8236594,5.9208407,5.7976255,5.164004,5.53647,5.9113517,5.115718,5.407679
AC126768.1,6.225872,6.129087,6.9198313,6.25943,6.538183,6.4996905,6.895845,6.8036084,6.3432956,6.4387326
AC126768.2,6.4687576,6.713798,6.4869976,6.7433853,6.4049206,6.5114746,6.1271024,6.5606313,6.6467514,6.438382
AC126773.6,8.27709,8.309544,8.198024,8.117973,8.585215,7.261883,7.676136,7.546798,7.540287,7.5155454
AC127024.1,6.4912753,5.8723288,6.467009,5.5071173,6.1066556,6.2451754,6.857137,5.932708,6.1876683,7.0862055
AC127070.4,10.78403,10.489594,10.449424,10.478949,10.580404,9.969279,9.832281,9.859004,10.118821,10.246599
AC127383.1,9.95532,9.956993,9.731291,10.35025,9.984076,9.577267,9.377588,9.625278,9.846457,9.816553
AC127526.2,9.946615,9.664762,9.53963,9.269368,9.7022705,8.567028,8.559407,8.178093,8.326635,8.262808
AC127537.1,5.350774,5.751813,5.5354743,5.3844047,4.6724434,5.11841,4.3795123,5.1001544,5.2637386,4.3555436
AC128707.1,4.7737117,5.621903,5.5079427,5.6277137,6.0847225,5.1396112,4.1674376,5.2389603,4.864103,3.829361
AC128709.3,4.19964,4.421174,4.803638,4.722499,3.7409005,5.4053607,4.747538,5.3919497,5.860902,5.3170967
AC128713.1,6.4136863,5.6306086,5.092765,6.1160674,4.7685313,5.468276,5.0083547,4.0986943,4.3225594,5.0570555
AC129492.3,6.2701707,5.8150167,5.966509,5.637436,5.9235873,6.624912,5.0341053,6.315132,6.947015,6.660378
AC130343.1,6.643518,6.7770786,6.722747,7.005502,7.5106845,6.610522,7.3707724,6.780911,6.3345556,6.6210337
AC130462.2,8.037627,7.7380633,7.8289404,7.764001,7.7905846,7.247836,7.3218536,7.3648243,7.2753105,7.155381
